run_id	LLM	pipeline
colbertv2	-	Colbert-v2 and using pre-trained checkpoint and do continue training on MS MARCO v2 training
cip_run_7	MonoT5/GPT-3.5	Unicoil+doct5query (pyserini)%0A2. MonoT5-3b (pygaggle)%0A3. GPT-3.5-Turbo top-50 prf reranking %0A4. GPT-3.5-Turbo top-40 reranking %0A5. GPT-3.5-Turbo top-30 reranking with different window size%
cip_run_1	MonoT5/GPT-3.5/GPT-4	Unicoil+doct5query (pyserini)%0A2. MonoT5-3b (pygaggle)%0A3. GPT-3.5-Turbo top-50 prf reranking %0A4. GPT-3.5-Turbo top-40 reranking %0A5. GPT-3.5-Turbo top-30 reranking with different window size%0A6. GPT-4 top-20 reranking
cip_run_2	MonoT5/GPT-3.5/GPT-4	Unicoil+doct5query (pyserini)%0A2. MonoT5-3b (pygaggle)%0A3. GPT-3.5-Turbo top-50 prf reranking %0A4. GPT-3.5-Turbo top-40 reranking %0A5. GPT-3.5-Turbo top-30 reranking with different window size%0A6. GPT-4 top-20 reranking%0A7.
cip_run_3	MonoT5/GPT-3.5	Unicoil+doct5query (pyserini)%0A2. MonoT5-3b (pygaggle)%0A3. GPT-3.5-Turbo top-50 prf reranking %0A4. GPT-3.5-Turbo top-40 reranking %0A5. GPT-3.5-Turbo top-30 reranking with different window size (fuse)
cip_run_4	MonoT5/GPT-3.5	Unicoil+doct5query (pyserini)%0A2. MonoT5-3b (pygaggle)%0A3. GPT-3.5-Turbo top-50 prf reranking %0A4. GPT-3.5-Turbo top-40 reranking
cip_run_5	MonoT5/GPT-3.5	Unicoil+doct5query (pyserini)%0A2. MonoT5-3b (pygaggle)%0A3. GPT-3.5-Turbo top-50 prf reranking %0A4. GPT-3.5-Turbo top-40 reranking %0A5. GPT-3.5-Turbo top-30 reranking with different window size
cip_run_6	MonoT5/GPT-3.5	Unicoil+doct5query (pyserini)%0A2. MonoT5-3b (pygaggle)%0A3. GPT-3.5-Turbo top-50 prf reranking
agg-cocondenser	-	Aggretriever is a dense retriever with semantic and lexical matching.
slim-pp-0shot-uw	-	SPRINT-https%3A//arxiv.org/pdf/2302.06587.pdf-only doct5query
uot-yahoo_rankgpt35	GPT-3.5	There was no fine-tuning or training of the model. This run utilized the GPT3.5 model to generate the re-ranking results via a List-wise approach. This is a Zero-shot learning approach.
uot-yahoo_rankgpt4	GPT-4	There was no fine-tuning or training of the model. This run utilized the GPT4 model to generate the re-ranking results via a List-wise approach. This is a Zero-shot learning approach.
uot-yahoo_LLMs-blender	GPT-3.5/GPT-4	There was no fine-tuning or training of the model. This run uses multiple LLM models to judge candidate document pairs in a pair-wise approach and finally aggregates the judgments of all models to generate the final ranking result. This is a Zero-shot learning approach.
WatS-LLM-Rerank	Llama	Using the given top 100 passages for each query.:No training.::100:no-prompt-no:A100 80GB, about 8400 minutes. We didn't put effort into optimizing efficiency. This attempt is more like a proof of concept.:Prompting the llama model to assess passages.
naverloo_bm25_RR	RankT5	First stage is BM25, second stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro
naverloo-frgpt4	T5/FlanT5/GPT-4	First stage is a very large ensemble of BM25+DOCT5+SPLADEPP+SPLADESD+AGG+SLIM, second stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro%0AWe then do a third step with an ensemble of 3 duo rankers over the top50, duoT5, PRP-FlanT5-3b and PRP-FlanT5-UL2. We finally finish by applying RankGPT4 over the top30 and ensembling with the previous step.
naverloo-rgpt4	T5/FlanT5/GPT-4	First stage is a very large ensemble of BM25+DOCT5+SPLADEPP+SPLADESD+AGG+SLIM, second stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro%0AWe then do a third step with an ensemble of 3 duo rankers over the top50, duoT5, PRP-FlanT5-3b and PRP-FlanT5-UL2. We finally finish by applying RankGPT4 over the top30.
splade_pp_ensemble_distil	-	Splade++ Ensemble distil available on huggingface
splade_pp_self_distil	-	Splade++ Self distil available on huggingface
bm25_splades	-	Ensemble of BM25 + SPLADE++SD + SPLADE++ED
naverloo_fs	-	Ensemble of BM25 + SPLADE++SD + SPLADE++ED + SLIM + AGGRetriever
naverloo_fs_RR	RankT5	First stage is an ensemble of BM25 + SPLADE++SD + SPLADE++ED + SLIM + AGGRetriever. %0ASecond stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro
naverloo_fs_RR_duo	T5	First stage is an ensemble of BM25 + SPLADE++SD + SPLADE++ED + SLIM + AGGRetriever. %0ASecond stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro%0AThird step is an ensemble of 3 duo rankers over the top50%3A%0AduoT5 %0APRP-FlanT5-3b%0APRP-FlanT5-UL2
naverloo_bm25_splades_RR	RankT5	First stage is an ensemble of BM25 + SPLADE++SD + SPLADE++ED%0ASecond stage is an ensemble of 5 rerankers%3A%0Anaver/trecdl22-crossencoder-albert%0Anaver/trecdl22-crossencoder-debertav2%0Anaver/trecdl22-crossencoder-debertav3%0Anaver/trecdl22-crossencoder-electra%0Anaver/trecdl22-crossencoder-rankT53b-repro
D_bm25_splades	-	Ensemble of BM25 + SPLADE++SD + SPLADE++ED
